NAME,x,y
Kogelberg Sandstone Fynbos,18.96833715,-34.07713737
Kogelberg Sandstone Fynbos,19.05167215,-34.04380337
Kogelberg Sandstone Fynbos,18.93500315,-34.22714037
Kogelberg Sandstone Fynbos,18.90166915,-34.31047537
Kogelberg Sandstone Fynbos,19.15167415,-34.22714037
Kogelberg Sandstone Fynbos,19.06833915,-34.01046937
Kogelberg Sandstone Fynbos,18.95167015,-34.31047537
Kogelberg Sandstone Fynbos,18.90166915,-34.19380637
Kogelberg Sandstone Fynbos,18.93500315,-34.19380637
Kogelberg Sandstone Fynbos,19.00167115,-34.06047037
Kogelberg Sandstone Fynbos,18.90166915,-34.32714237
Kogelberg Sandstone Fynbos,18.95167015,-34.12713837
Kogelberg Sandstone Fynbos,19.01833815,-34.01046937
Kogelberg Sandstone Fynbos,19.03500515,-33.92713437
Kogelberg Sandstone Fynbos,18.93500315,-33.89380037
Kogelberg Sandstone Fynbos,19.13500715,-34.12713837
Kogelberg Sandstone Fynbos,18.90166915,-34.24380737
Kogelberg Sandstone Fynbos,19.20167515,-34.12713837
Kogelberg Sandstone Fynbos,19.03500515,-33.96046837
Kogelberg Sandstone Fynbos,19.05167215,-33.97713537
Kogelberg Sandstone Fynbos,19.01833815,-34.02713637
Kogelberg Sandstone Fynbos,19.10167315,-33.97713537
Kogelberg Sandstone Fynbos,18.98500415,-34.06047037
Kogelberg Sandstone Fynbos,19.01833815,-34.31047537
Kogelberg Sandstone Fynbos,19.11834015,-33.99380237
Kogelberg Sandstone Fynbos,19.10167315,-34.12713837
Kogelberg Sandstone Fynbos,18.98500415,-34.01046937
Kogelberg Sandstone Fynbos,18.93500315,-34.27714137
Kogelberg Sandstone Fynbos,18.96833715,-34.11047137
Kogelberg Sandstone Fynbos,18.96833715,-34.27714137
Kogelberg Sandstone Fynbos,19.06833915,-34.11047137
Kogelberg Sandstone Fynbos,19.10167315,-34.11047137
Kogelberg Sandstone Fynbos,19.11834015,-34.11047137
Kogelberg Sandstone Fynbos,19.05167215,-34.01046937
Kogelberg Sandstone Fynbos,19.03500515,-34.29380837
Kogelberg Sandstone Fynbos,18.98500415,-34.31047537
Kogelberg Sandstone Fynbos,18.86833515,-34.32714237
Kogelberg Sandstone Fynbos,19.01833815,-34.06047037
Kogelberg Sandstone Fynbos,18.96833715,-34.04380337
Kogelberg Sandstone Fynbos,18.88500215,-34.22714037
Kogelberg Sandstone Fynbos,19.03500515,-34.04380337
Kogelberg Sandstone Fynbos,18.86833515,-34.31047537
Kogelberg Sandstone Fynbos,18.88500215,-34.31047537
Kogelberg Sandstone Fynbos,19.00167115,-34.07713737
Kogelberg Sandstone Fynbos,18.91833615,-34.31047537
Kogelberg Sandstone Fynbos,19.16834115,-34.22714037
Kogelberg Sandstone Fynbos,19.13500715,-34.09380437
Kogelberg Sandstone Fynbos,19.01833815,-33.99380237
Kogelberg Sandstone Fynbos,19.03500515,-34.02713637
Kogelberg Sandstone Fynbos,19.11834015,-33.97713537
Kogelberg Sandstone Fynbos,19.10167315,-33.99380237
Kogelberg Sandstone Fynbos,18.88500215,-34.29380837
Kogelberg Sandstone Fynbos,18.95167015,-34.21047337
Kogelberg Sandstone Fynbos,19.15167415,-33.94380137
Kogelberg Sandstone Fynbos,19.11834015,-34.12713837
Kogelberg Sandstone Fynbos,19.05167215,-34.31047537
Kogelberg Sandstone Fynbos,19.15167415,-34.12713837
Kogelberg Sandstone Fynbos,18.91833615,-34.24380737
Kogelberg Sandstone Fynbos,19.03500515,-33.97713537
Kogelberg Sandstone Fynbos,19.00167115,-34.02713637
Kogelberg Sandstone Fynbos,18.96833715,-34.02713637
Kogelberg Sandstone Fynbos,19.01833815,-34.29380837
Kogelberg Sandstone Fynbos,18.88500215,-34.26047437
Kogelberg Sandstone Fynbos,18.90166915,-34.26047437
Kogelberg Sandstone Fynbos,19.16834115,-34.11047137
Kogelberg Sandstone Fynbos,18.91833615,-34.26047437
Kogelberg Sandstone Fynbos,18.90166915,-34.27714137
Kogelberg Sandstone Fynbos,18.96833715,-34.01046937
Kogelberg Sandstone Fynbos,18.95167015,-34.27714137
Kogelberg Sandstone Fynbos,19.15167415,-33.91046737
Kogelberg Sandstone Fynbos,18.98500415,-34.27714137
Kogelberg Sandstone Fynbos,19.16834115,-34.14380537
Kogelberg Sandstone Fynbos,19.18500815,-34.14380537
Kogelberg Sandstone Fynbos,19.00167115,-34.29380837
Kogelberg Sandstone Fynbos,18.86833515,-34.34380937
Kogelberg Sandstone Fynbos,18.88500215,-34.19380637
Kogelberg Sandstone Fynbos,19.05167215,-33.99380237
Kogelberg Sandstone Fynbos,19.06833915,-34.02713637
Kogelberg Sandstone Fynbos,19.08500615,-33.99380237
Kogelberg Sandstone Fynbos,19.13500715,-33.99380237
Kogelberg Sandstone Fynbos,18.98500415,-34.26047437
Kogelberg Sandstone Fynbos,18.95167015,-34.17713937
Kogelberg Sandstone Fynbos,19.15167415,-34.17713937
Kogelberg Sandstone Fynbos,19.08500615,-34.04380337
Kogelberg Sandstone Fynbos,19.01833815,-34.07713737
Kogelberg Sandstone Fynbos,19.06833915,-34.09380437
Kogelberg Sandstone Fynbos,19.20167515,-34.17713937
Kogelberg Sandstone Fynbos,19.11834015,-34.31047537
Kogelberg Sandstone Fynbos,19.13500715,-33.96046837
Kogelberg Sandstone Fynbos,19.00167115,-33.91046737
