"","x","y","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc"
"94",19.169866,-32.633185,8003857,"NBG0090893-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-32.633185,19.169866,"501-2000m"
"95",18.966147,-32.37451,8003943,"SAM0022172-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-32.37451,18.966147,"501-2000m"
"96",19.603932,-34.021002,8004104,"NBG0147147-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.021002,19.603932,"501-2000m"
"97",19.025792,-34.020502,8004064,"NBG0057689-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.020502,19.025792,"<500m"
"98",19.028494,-34.018026,8004098,"PRE0813115-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.018026,19.028494,"501-2000m"
"99",19.030588,-34.01717,8004074,"PRE0813158-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.01717,19.030588,"501-2000m"
"100",19.040014,-34.007742,8004075,"PRE0812741-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.007742,19.040014,"501-2000m"
"101",20.474006,-33.987214,8004115,"NBG0057700-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.987214,20.474006,"501-2000m"
"102",18.984661,-33.971704,8004073,"PRE0813169-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.971704,18.984661,"501-2000m"
"103",19.535933,-33.957773,8004089,"PRE0051568-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.957773,19.535933,"<500m"
"104",19.51918,-33.95777,8004107,"PRE0051567-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.95777,19.51918,"501-2000m"
"105",22.415437,-33.899924,8004069,"NBG0182236-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.899924,22.415437,"501-2000m"
"106",22.029947,-33.871483,8004097,"NBG0182234-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.871483,22.029947,"<500m"
"107",19.081196,-33.76211,8004106,"SAM0056287-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.76211,19.081196,"501-2000m"
"108",19.147923,-33.655622,8004077,"NBG0057691-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.655622,19.147923,"501-2000m"
"109",21.331655,-33.401153,8004051,"PRE0051561-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.401153,21.331655,"501-2000m"
"110",19.660084,-33.375117,8004105,"SAM0055885-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.375117,19.660084,"501-2000m"
"111",19.621452,-33.367176,8004061,"NBG0057692-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.367176,19.621452,"501-2000m"
"112",19.310107,-33.186219,8004083,"SAM0056210-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.186219,19.310107,"501-2000m"
"113",19.10503222,-32.99097944,8004102,"NBG0200853-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.99097944,19.10503222,"<500m"
"114",19.186323,-32.859104,8004101,"NBG0153030-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.859104,19.186323,"501-2000m"
"115",19.10611111,-32.40555556,8004057,"NBG0197022-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.40555556,19.10611111,"GPS"
"116",19.106742,-32.366546,8004059,"NBG0057688-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.366546,19.106742,"501-2000m"
"117",19.059111,-32.206857,8004109,"NBG0182237-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.206857,19.059111,"501-2000m"
"118",18.928449,-34.326544,8005892,"PRE0477215-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.326544,18.928449,"501-2000m"
"119",18.89072,-34.255219,8005865,"PRE0239419-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.255219,18.89072,"501-2000m"
"120",19.136791,-34.146758,8005885,"PRE0070073-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.146758,19.136791,"501-2000m"
"121",19.05262,-34.082809,8005877,"PRE0836444-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.082809,19.05262,"501-2000m"
"122",19.003546,-34.049187,8005873,"PRE0070021-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.049187,19.003546,"501-2000m"
"123",19.035115,-34.012744,8005874,"PRE0836406-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-34.012744,19.035115,"501-2000m"
"124",18.430048,-33.981874,8005878,"PRE0070020-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.981874,18.430048,"501-2000m"
"125",19.506266,-33.971629,8005866,"PRE0728542-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.971629,19.506266,"<500m"
"126",18.411066,-33.968416,8005880,"PRE0679302-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.968416,18.411066,"501-2000m"
"127",18.42528,-33.96611,8005887,"PRE0070023-0","","","Restionaceae","Restio","Chondropetalum ebracteatum (Kunth) Pillans ","ChondEbrac",-33.96611,18.42528,"501-2000m"
