Family,Clade,ScientificName,Taxon,LatitudeDecimal,LongitudeDecimal,ReferenceAcc,Localities,GrowthForm,Trait,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.492916,22.651579,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.469949,20.632556,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.463201,20.589196,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.428057,18.978476,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-32.759727,18.027229,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-32.63055556,19.07166667,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-32.61331,18.295484,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-32.276508,19.21668,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-32.040083,18.321478,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.942446,19.239452,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.918554,18.713441,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.806634,18.62837,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.706955,18.903083,<500m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-34.457549,20.399251,501-2000m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-34.455941,20.398239,501-2000m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-33.915807,18.38667,501-2000m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-33.909576,18.474092,501-2000m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-33.790553,18.54782,<500m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-33.72328,18.737546,501-2000m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-33.722577,18.739281,<500m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-33.227394,20.582669,501-2000m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-33.034284,18.67522,501-2000m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-33.01989,17.94631,<500m,21,AH,Null,,,,,,,,,,
