"","","<500m","500m - 2000m","501-2000m","A","A.Galley","B","B.Galley","GPS"
"LeucaPlaty",0,0,0,10,0,0,0,0,0
"LeucaRoodi",0,0,0,1,0,0,0,0,0
"LeucaRubru",0,17,0,36,0,0,0,0,4
"LeucaSalic",0,9,0,25,0,0,0,0,1
"LeucaSalig",0,45,0,75,0,0,0,0,4
"LeucaSeric",0,0,0,1,0,0,0,0,0
"LeucaSessi",0,5,0,11,0,0,0,0,0
"LeucaSingu",0,0,0,4,0,0,0,0,0
"LeucaSpisF",0,1,0,1,0,0,0,0,0
"LeucaSpisP",0,4,0,13,0,0,0,0,0
"LeucaSpisS",0,12,0,33,0,0,0,0,0
"LeucaSpisY",0,0,0,0,0,0,0,0,2
"LeucaStell",0,5,0,14,0,0,1,0,1
"LeucaStrob",0,5,0,2,0,0,0,0,0
"LeucaTeret",0,13,0,13,0,0,0,0,0
"LeucaThymi",0,3,0,3,0,0,0,0,1
"LeucaTinct",0,6,0,10,0,0,0,0,0
"LeucaUligG",0,0,0,2,0,0,0,0,0
"LeucaUligU",0,2,0,17,0,0,0,0,0
"LeucaUligY",0,0,0,0,0,0,0,0,1
"LeucaVerti",0,2,0,8,0,0,1,0,0
"LeucaXanth",0,14,0,33,0,0,0,0,0
"PentaAcino",0,0,0,2,0,1,0,19,0
"PentaAiroA",0,0,0,2,0,2,0,38,0
"PentaAltic",0,0,0,0,0,3,0,16,0
"PentaAmpla",0,0,0,3,0,1,0,44,0
"PentaArfol",0,0,0,1,0,0,0,5,0
"PentaArgen",0,0,0,4,0,1,0,27,0
"PentaArist",0,0,0,7,0,5,0,35,0
"PentaAsper",0,0,0,3,0,0,0,16,0
"PentaAureA",0,0,0,1,0,0,0,15,0
"PentaAureP",0,0,0,0,0,0,0,1,0
"PentaBarba",0,0,0,4,0,1,0,28,0
"PentaCalci",0,0,0,0,0,5,0,13,0
"PentaCapen",0,0,0,1,0,1,0,20,0
"PentaCapil",0,0,0,0,0,1,0,6,0
"PentaCaule",0,0,0,0,0,1,0,0,0
"PentaCirrh",0,0,0,0,0,1,0,12,0
"PentaClava",0,0,0,0,0,2,0,0,0
"PentaColor",0,1,0,4,0,4,0,65,0
"PentaCurvi",0,2,0,12,0,9,0,71,0
"PentaDensi",0,0,0,1,0,1,0,44,0
"PentaEcklo",0,0,0,2,0,0,0,7,0
"PentaElega",0,0,0,0,0,1,0,1,0
"PentaErios",0,0,0,1,0,5,0,64,0
"PentaGland",0,0,0,2,0,2,0,19,0
"PentaHepta",0,0,0,0,0,1,0,1,0
"PentaHolci",0,0,0,2,0,0,0,3,0
"PentaHorri",0,0,0,0,0,4,0,2,0
"PentaJunci",0,0,0,0,0,1,0,0,0
"PentaLongi",0,0,0,0,0,0,0,1,0
"PentaMalou",0,1,0,2,0,1,0,66,0
"PentaMonta",0,0,0,0,0,1,0,4,0
"PentaPalle",0,1,0,7,0,0,0,14,0
"PentaPalli",0,2,0,8,0,20,0,162,0
"PentaPapil",0,1,0,2,0,1,0,26,0
"PentaPatul",0,0,0,1,0,1,0,14,0
"PentaPseud",0,0,0,0,0,1,0,7,0
"PentaPunge",0,0,0,1,0,4,0,11,0
"PentaPusil",0,1,0,2,0,0,0,11,0
"PentaPyrop",0,0,0,0,0,2,0,18,0
"PentaRefle",0,0,0,0,0,2,0,8,0
"PentaRigid",0,0,0,2,0,3,0,46,0
"PentaRoseP",0,0,0,1,0,3,0,23,0
"PentaRoseR",0,0,0,1,0,0,0,2,0
"PentaRupes",0,0,0,1,0,2,0,15,0
"PentaScand",0,0,0,0,0,1,0,3,0
"PentaTomen",0,0,0,0,0,1,0,3,0
"PentaTortu",0,0,0,4,0,1,0,31,0
"PentaTrifi",0,0,0,0,0,1,0,0,0
"PentaTrise",0,0,0,0,0,2,0,15,0
"PentaVelut",0,0,0,1,0,0,0,9,0
"PentaVenet",0,0,0,0,0,1,0,20,0
"PentaVisci",0,0,0,1,0,1,0,1,0
"PentmDisti",0,0,0,0,0,2,0,36,0
"PentmGlaci",0,0,0,0,0,0,0,1,0
"PentmHirti",0,0,0,1,0,0,0,1,0
"PentmLongi",0,0,0,3,0,1,0,0,0
"PentmMacro",0,0,0,3,0,1,0,49,0
