Barcode,Family,Scientific_Name,Latitude_Decimal,Longitude_Decimal,Collector,Collectors_Number,Collection_Date,CollectionDay,CollectionMonth,CollectionYear,Voucher,Locality,Habitat_Comments,AltitudeFrom,AltitudeMax,AltitudeUnits,District,Province,Grid,Reference_Accuracy,Latitude_Decimal2,Latitude,txtLatitudeMinutes,txtLatitudeSeconds,Direction,Longitude_Decimal2,Longitude,txtLongitudeMinutes,txtLongitudeSeconds,LogitudeDirection,Herb_Number,Type,PRECI_Number,Det,Source_File,Date_Captured
8001950,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.918554,18.713441,Wilman A.M.,904,,7,9,1949,Vera,CLANWILLIAM DIV.; DOORN RIVER; 4 MI. S. OF DOORN RIVER BETWEEN CLANWILLIAM AND KLAVER,,0,0,,Clanwilliam,WC,3118DC,<500m,-31.918554,31,55,7,S,18.713441,18,42,48,E,,FALSE,PRE0215482-0,,,
8001833,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.040083,18.321478,Boucher C.,2540,,5,11,1974,Vera,CLANWILLIAM. LAMBERTS BAY; NORTIER EXP. FARM; CAMP 14,Annual.,45,0,m,Clanwilliam,WC,3218AB,501-2000m,-32.040083,32,2,24,S,18.321478,18,19,17,E,,FALSE,PRE0359575-0,,,
8001892,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.806634,18.62837,Marsh J.A. & French  & Pamphlett G.,206,,30,7,1967,Vera,CLANWILLIAM; 34 MI. FROM CLANWILLIAM TO VAN RHYNSDORP,roadside/railwayside,0,0,,Van Rhynsdorp,WC,3118DC,501-2000m,-31.806634,31,48,24,S,18.62837,18,37,42,E,,FALSE,PRE0215486-0,,,
8001890,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.806634,18.62837,Marsh J.A. & French  & Pamphlett G.,206,,30,7,1967,Vera,CLANWILLIAM; 34 MI. FROM CLANWILLIAM TO VAN RHYNSDORP,roadside/railwayside,0,0,,Van Rhynsdorp,WC,3118DC,501-2000m,-31.806634,31,48,24,S,18.62837,18,37,42,E,,FALSE,PRE0215486-0,,,
8001891,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.806634,18.62837,Marsh J.A. & French  & Pamphlett G.,206,,30,7,1967,Vera,CLANWILLIAM; 34 MI. FROM CLANWILLIAM TO VAN RHYNSDORP,roadside/railwayside,0,0,,Van Rhynsdorp,WC,3118DC,501-2000m,-31.806634,31,48,24,S,18.62837,18,37,42,E,,FALSE,PRE0215486-0,,,
8001934,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.013646,24.342858,Thode J.,A908,,,5,1926,Vera,CLARKSON,,0,0,,Humansdorp,EC,3424AB,501-2000m,-34.013646,34,0,49,S,24.342858,24,20,34,E,,FALSE,PRE0724048-0,,,
8001938,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.162668,25.621886,Van Dam G., TRV 18882,,,10,1918,Vera,CRADOCK,,0,0,,CRADOCK,EC,3225BA,5001-10000m,-32.162668,32,9,46,S,25.621886,25,37,19,E,,FALSE,PRE0215471-0,,,
8001952,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.107948,25.478046,Zietsman P.C. & Zietsman L.,1324,,1,11,1985,Vera,CRADOCK DIST.; 15 KM VANAF CRADOCK OP DIE GRAAFF REINET PAD,roadside/railwayside,0,0,,CRADOCK,EC,3225AB,501-2000m,-32.107948,32,6,29,S,25.478046,25,28,41,E,,FALSE,PRE0689021-0,,,
8001953,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.107948,25.478046,Zietsman P.C. & Zietsman L.,1324,,1,11,1985,Vera,CRADOCK DIST.; 15 KM VANAF CRADOCK OP DIE GRAAFF REINET PAD,roadside/railwayside,0,0,,CRADOCK,EC,3225AB,501-2000m,-32.107948,32,6,29,S,25.478046,25,28,41,E,,FALSE,PRE0689021-0,,,
8001839,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.162668,25.621886,Brynard A.M.,91,,27,8,1952,Vera,CRADOCK DIV.,,0,0,,CRADOCK,EC,3225BA,>10000m,-32.162668,32,9,46,S,25.621886,25,37,19,E,,FALSE,PRE0215483-0,,,
