V's Barcoda,Precis Barcode,Casherb,Casno,Family,Clade,Scientific_Name,Taxon,Latitude Decimal,Longitude Decimal,Reference Acc,Number of localities,Plant life form ,Growth Form,Growth Form_Vn,Fire response trait,Fire response trait_Vn,,,,,,,,,,
8002210,NBG0033750-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.25,18.38333333,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002234,118527,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.119262,18.446824,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002196,PRE0229721-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.035179,19.409726,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002203,PRE0229724-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.999338,18.959369,<500m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002201,PRE0229714-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.99504,18.473474,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002224,118528,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.94722,18.49306,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002245,PRE0229722-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.935454,18.924035,<500m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002243,PRE0229719-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.907838,18.600699,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002231,PRE0807527-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.826443,19.036641,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002215,PRE0229729-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.82472,24.26222,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
8002230,NBG0211220-0,Null,Null,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.816546,19.020975,501-2000m,25,Perennial herb,Null,PH,Null,Null,,,,,,,,,,
