"","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc","Longitude.Decimal.1","Latitude.Decimal.1"
"596",8003870,"NBG0196800-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.01083333,19.08361111,"GPS",19.08361111,-33.01083333
"597",8003935,"NBG0182799-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-32.895334,19.076487,"501-2000m",19.076487,-32.895334
"598",8003857,"NBG0090893-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-32.633185,19.169866,"501-2000m",19.169866,-32.633185
"599",8003943,"SAM0022172-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-32.37451,18.966147,"501-2000m",18.966147,-32.37451
"619",8004104,"NBG0147147-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.021002,19.603932,"501-2000m",19.603932,-34.021002
"620",8004064,"NBG0057689-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.020502,19.025792,"<500m",19.025792,-34.020502
"621",8004098,"PRE0813115-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.018026,19.028494,"501-2000m",19.028494,-34.018026
"622",8004074,"PRE0813158-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.01717,19.030588,"501-2000m",19.030588,-34.01717
"623",8004075,"PRE0812741-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-34.007742,19.040014,"501-2000m",19.040014,-34.007742
"626",8004073,"PRE0813169-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.971704,18.984661,"501-2000m",18.984661,-33.971704
"627",8004089,"PRE0051568-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.957773,19.535933,"<500m",19.535933,-33.957773
"628",8004107,"PRE0051567-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.95777,19.51918,"501-2000m",19.51918,-33.95777
"630",8004069,"NBG0182236-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.899924,22.415437,"501-2000m",22.415437,-33.899924
"631",8004072,"PRE0051571-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.87536,22.798042,"501-2000m",22.798042,-33.87536
"632",8004097,"NBG0182234-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.871483,22.029947,"<500m",22.029947,-33.871483
"634",8004106,"SAM0056287-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.76211,19.081196,"501-2000m",19.081196,-33.76211
"635",8004086,"PRE0051565-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.706817,19.079089,"501-2000m",19.079089,-33.706817
"636",8004077,"NBG0057691-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.655622,19.147923,"501-2000m",19.147923,-33.655622
"637",8004051,"PRE0051561-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.401153,21.331655,"501-2000m",21.331655,-33.401153
"638",8004105,"SAM0055885-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.375117,19.660084,"501-2000m",19.660084,-33.375117
"639",8004061,"NBG0057692-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.367176,19.621452,"501-2000m",19.621452,-33.367176
"640",8004083,"SAM0056210-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-33.186219,19.310107,"501-2000m",19.310107,-33.186219
"641",8004102,"NBG0200853-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.99097944,19.10503222,"<500m",19.10503222,-32.99097944
"642",8004101,"NBG0153030-0","","","Orchidaceae","Coryciinae","Ceratandra globosa Lindl. ","CeratGlobo",-32.859104,19.186323,"501-2000m",19.186323,-32.859104
