"","Species","Lon","Lat"
"769","LeucaSalig",20.770568,-34.426467
"770","LeucaSalig",19.653895,-34.42039
"771","LeucaSalig",20.679129,-34.413962
"772","LeucaSalig",20.576824,-34.412673
"773","LeucaSalig",20.581226,-34.410108
"774","LeucaSalig",18.953773,-34.281373
"775","LeucaSalig",19.023927,-34.228696
"776","LeucaSalig",19.107937,-34.003601
"777","LeucaSalig",18.96593,-33.998014
"778","LeucaSalig",18.97988,-33.98797
"779","LeucaSalig",18.978601,-33.987474
"780","LeucaSalig",18.975372,-33.982469
"781","LeucaSalig",19.506236,-33.971976
"782","LeucaSalig",19.506061,-33.971152
"783","LeucaSalig",19.503735,-33.969646
"784","LeucaSalig",18.439228,-33.953998
"785","LeucaSalig",19.169668,-33.950647
"786","LeucaSalig",21.052846,-33.941886
"787","LeucaSalig",19.162014,-33.92907
"788","LeucaSalig",20.711494,-33.913919
"789","LeucaSalig",23.222567,-33.908518
"790","LeucaSalig",25.205605,-33.905493
"791","LeucaSalig",19.157181,-33.905182
"792","LeucaSalig",23.505383,-33.860474
"793","LeucaSalig",23.506931,-33.859884
"794","LeucaSalig",22.482851,-33.851914
"795","LeucaSalig",23.151171,-33.779678
"796","LeucaSalig",25.203377,-33.732375
"797","LeucaSalig",23.038056,-33.721609
"798","LeucaSalig",18.934963,-33.718385
"799","LeucaSalig",19.76169,-33.673094
"800","LeucaSalig",19.101049,-33.647248
"801","LeucaSalig",25.196832,-33.630562
"802","LeucaSalig",25.354502,-33.623692
"803","LeucaSalig",25.077583,-33.617008
"804","LeucaSalig",19.650619,-33.593161
"805","LeucaSalig",24.373066,-33.580936
"806","LeucaSalig",20.981806,-33.547442
"807","LeucaSalig",18.354853,-33.547272
"808","LeucaSalig",20.739675,-33.505198
"809","LeucaSalig",23.654929,-33.495465
"810","LeucaSalig",23.467273,-33.448113
"811","LeucaSalig",22.409629,-33.391085
"812","LeucaSalig",19.337479,-33.236968
"813","LeucaSalig",18.272655,-33.18058
"814","LeucaSalig",19.064346,-32.87302
"815","LeucaSalig",18.736916,-32.854335
"816","LeucaSalig",18.770065,-32.738176
"817","LeucaSalig",19.326097,-32.668598
"818","LeucaSalig",19.266601,-32.538955
"819","LeucaSalig",19.17608,-32.512545
"820","LeucaSalig",19.10753,-32.407055
"821","LeucaSalig",19.061633,-32.397815
"822","LeucaSalig",19.048091,-32.369262
"823","LeucaSalig",19.01265,-32.347453
"824","LeucaSalig",19.223351,-32.322092
"825","LeucaSalig",19.222458,-32.310114
"826","LeucaSalig",19.019356,-31.763723
"827","LeucaSpisS",18.978179,-34.10982
"828","LeucaSpisS",21.421283,-34.008336
"829","LeucaSpisS",18.980977,-33.99335
"830","LeucaSpisS",18.976487,-33.990499
"831","LeucaSpisS",20.027229,-33.990059
"832","LeucaSpisS",18.975372,-33.982469
"833","LeucaSpisS",18.975337,-33.98217
"834","LeucaSpisS",21.19549,-33.965808
"835","LeucaSpisS",20.644257,-33.961428
"836","LeucaSpisS",18.43218,-33.960427
"837","LeucaSpisS",18.43917,-33.954005
"838","LeucaSpisS",20.933792,-33.947915
"839","LeucaSpisS",19.167747,-33.946752
"840","LeucaSpisS",19.799767,-33.945418
"841","LeucaSpisS",21.052846,-33.941886
"842","LeucaSpisS",20.849284,-33.934186
"843","LeucaSpisS",23.222567,-33.908518
"844","LeucaSpisS",19.157181,-33.905182
"845","LeucaSpisS",19.156619,-33.902577
"846","LeucaSpisS",19.06141,-33.815717
"847","LeucaSpisS",19.069056,-33.81411
"848","LeucaSpisS",19.229941,-33.316489
"849","LeucaSpisS",19.119533,-32.461928
"850","LeucaXanth",19.62311,-34.654859
"851","LeucaXanth",19.989469,-34.561704
"852","LeucaXanth",19.653895,-34.42039
"853","LeucaXanth",20.683614,-34.417678
"854","LeucaXanth",20.565555,-34.375208
"855","LeucaXanth",18.905448,-34.327091
"856","LeucaXanth",18.949487,-34.323019
"857","LeucaXanth",19.001707,-34.316808
"858","LeucaXanth",19.410051,-34.314763
"859","LeucaXanth",18.990586,-34.306307
"860","LeucaXanth",19.005635,-34.276586
"861","LeucaXanth",18.925069,-34.276071
"862","LeucaXanth",18.411066,-33.968416
"863","LeucaXanth",18.414941,-33.963983
"864","LeucaXanth",21.541576,-33.950498
"865","LeucaXanth",20.711494,-33.913919
"866","PentaAcino",19.85,-34.0667
"867","PentaAcino",18.9921,-34.0522
"868","PentaAcino",18.9833,-34.05
"869","PentaAcino",18.9897,-34.0413
"870","PentaAcino",18.9833,-34.0333
"871","PentaAcino",19.5833,-34.0167
"872","PentaAcino",19.6,-34.0167
"873","PentaAcino",19.6667,-34
"874","PentaAcino",21.1897,-33.9576
"875","PentaAcino",20.8833,-33.9167
"876","PentaAcino",19.2,-33.9
"877","PentaAcino",19.1333,-33.8167
"878","PentaAcino",19.1,-33.7667
"879","PentaAcino",19.1333,-33.7
"880","PentaAcino",19.1333,-33.6833
"881","PentaAcino",19.1167,-33.6
"882","PentaAiroA",20.4667,-34.0667
"883","PentaAiroA",21.7667,-33.9333
"884","PentaAiroA",22.0167,-33.8833
"885","PentaAiroA",22.7667,-33.8167
"886","PentaAiroA",18.9333,-33.7333
"887","PentaAiroA",19.8833,-33.6167
"888","PentaAiroA",21.3167,-33.6167
"889","PentaAiroA",19.1167,-33.6
"890","PentaAiroA",19.45,-33.6
"891","PentaAiroA",19.6,-33.5667
"892","PentaAiroA",22.5333,-33.4833
"893","PentaAiroA",19.5167,-33.4667
"894","PentaAiroA",22.3167,-33.4
"895","PentaAiroA",21.9667,-33.35
"896","PentaAiroA",23.7589,-33.313
"897","PentaAiroA",18.7333,-32.8667
"898","PentaAiroA",19.0686,-32.2212
"899","PentaAiroA",19.2,-31.7
"900","PentaAltic",19.1,-33.6833
"901","PentaAltic",19.4,-33.5667
"902","PentaAltic",19.4167,-33.55
"903","PentaAltic",19.3917,-33.5405
"904","PentaAltic",19.4,-33.5167
"905","PentaAltic",19.15,-33.4667
"906","PentaAltic",19.4667,-33.4667
"907","PentaAltic",19.452,-33.457
"908","PentaAltic",19.45,-33.45
"909","PentaAltic",19.4383,-33.4463
"910","PentaAltic",19.45,-33.4333
"911","PentaAltic",19.3,-33.4167
"912","PentaAltic",19.6667,-33.4167
"913","PentaAltic",19.2667,-33.3833
"914","PentaAltic",19.6333,-33.3833
"915","PentaAltic",19.6667,-33.3833
"916","PentaAltic",19.1167,-33.15
"917","PentaAltic",19.0833,-33.0667
"918","PentaAltic",19.2333,-32.5833
"919","PentaAmpla",19.55,-34.65
"920","PentaAmpla",18.4167,-34.0833
